V,dark,10dbm,12dbm,14dbm,16dbm,18dbm,20dbm
1,0.00348199,0.00347706,0.00348751,0.00348907,0.00349153,0.00349028,0.00349048
0.9,0.00183735,0.0018441,0.00185359,0.00185528,0.00185751,0.00185665,0.00185772
0.8,0.000720465,0.000723739,0.000730714,0.000732647,0.000734994,0.000734569,0.000736239
0.7,0.000161172,0.000153189,0.000157862,0.000160102,0.000162311,0.000162785,0.000164402
0.6,2.09561E-05,9.83729E-06,1.32245E-05,1.55869E-05,1.72194E-05,1.81714E-05,1.91825E-05
0.5,2.21109E-06,-9.39725E-06,-5.72763E-06,-3.28037E-06,-1.69213E-06,-5.40524E-07,1.75706E-07
0.4,2.04679E-07,-1.21274E-05,-8.11513E-06,-5.48183E-06,-3.85815E-06,-2.60931E-06,-1.94639E-06
0.3,1.96311E-08,-0.000012833,-8.57354E-06,-5.8335E-06,-4.16054E-06,-2.87464E-06,-2.21615E-06
0.2,1.5726E-09,-1.31687E-05,-8.74481E-06,-5.95995E-06,-4.26796E-06,-2.96058E-06,-2.2949E-06
0.1,7.03E-11,-1.34109E-05,-8.91267E-06,-6.05992E-06,-4.35506E-06,-3.01745E-06,-2.33764E-06
0,-1.86E-11,-1.36219E-05,-9.03517E-06,-6.14608E-06,-4.41462E-06,-3.06234E-06,-2.37095E-06
-0.1,-2.48E-11,-1.37888E-05,-9.13117E-06,-6.21061E-06,-4.46851E-06,-3.09848E-06,-2.40704E-06
-0.2,-2.653E-11,-1.39454E-05,-9.22194E-06,-6.27825E-06,-4.51831E-06,-3.12523E-06,-2.43193E-06
-0.3,-2.704E-11,-1.40845E-05,-9.30587E-06,-6.32457E-06,-4.55598E-06,-3.15733E-06,-2.45942E-06
-0.4,-3.208E-11,-1.41954E-05,-9.35662E-06,-6.36389E-06,-4.58261E-06,-3.17807E-06,-2.47318E-06
-0.5,-3.086E-11,-1.43059E-05,-9.43344E-06,-6.39598E-06,-4.61212E-06,-3.20156E-06,-2.49168E-06
-0.6,-3.146E-11,-1.44027E-05,-9.4981E-06,-6.43339E-06,-4.64406E-06,-3.21974E-06,-2.50957E-06
-0.7,-3.619E-11,-1.44593E-05,-9.54026E-06,-6.46539E-06,-4.67913E-06,-3.23783E-06,-2.51809E-06
-0.8,-3.686E-11,-0.000014554,-9.58144E-06,-6.50263E-06,-4.69412E-06,-3.26402E-06,-2.54107E-06
